epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.73,1.06254,1.38602,1.16402,0.92808,0.94576,0.97813,0.73279,0.89516,0.59673,1.10284,0.000174656,0.000174656,0.000174656
2,305.411,1.00922,0.8017,1.15482,0.8956,0.93178,0.96534,0.71483,0.91441,0.57967,1.13159,0.00033613,0.00033613,0.00033613
3,451.782,0.97688,0.69519,1.13885,0.93392,0.93867,0.97507,0.74124,0.88829,0.5513,1.15111,0.000483717,0.000483717,0.000483717
4,596.871,0.94443,0.64393,1.12167,0.95971,0.96623,0.98642,0.74027,0.87909,0.47824,1.13285,0.000463511,0.000463511,0.000463511
5,743.023,0.91578,0.58183,1.1067,0.94652,0.95244,0.98641,0.76915,0.81017,0.44842,1.10991,0.000442682,0.000442682,0.000442682
6,883.593,0.88728,0.55706,1.0955,0.96635,0.98282,0.9921,0.78578,0.79737,0.4164,1.09882,0.000421852,0.000421852,0.000421852
7,1019.64,0.86748,0.52597,1.08023,0.97051,0.97932,0.9919,0.80113,0.76414,0.39609,1.06855,0.000401022,0.000401022,0.000401022
8,1158.5,0.84223,0.50119,1.0708,0.97972,0.97951,0.99289,0.79139,0.78767,0.39311,1.10059,0.000380193,0.000380193,0.000380193
9,1294,0.81242,0.47249,1.05253,0.96829,0.98862,0.99076,0.79731,0.76935,0.38473,1.0551,0.000359363,0.000359363,0.000359363
10,1431.3,0.80637,0.46195,1.05086,0.97502,0.98492,0.99283,0.8093,0.74354,0.3797,1.06051,0.000338534,0.000338534,0.000338534
11,1565.69,0.78494,0.45193,1.04272,0.97147,0.98455,0.99231,0.82009,0.72769,0.36722,1.03948,0.000317704,0.000317704,0.000317704
12,1702.76,0.76295,0.42499,1.02519,0.97003,0.98306,0.99131,0.82193,0.71675,0.35499,1.0269,0.000296874,0.000296874,0.000296874
13,1839.47,0.75877,0.42403,1.02764,0.97129,0.98677,0.99209,0.82445,0.70818,0.34884,1.03396,0.000276045,0.000276045,0.000276045
14,1974.38,0.73307,0.40234,1.01264,0.97818,0.97616,0.98956,0.82151,0.70708,0.34901,1.02198,0.000255215,0.000255215,0.000255215
15,2111.03,0.72472,0.39847,1.00641,0.98355,0.97935,0.99325,0.83452,0.70369,0.33567,1.02238,0.000234386,0.000234386,0.000234386
16,2247.16,0.68355,0.33609,0.97998,0.96687,0.98663,0.98915,0.8075,0.72642,0.34622,1.03438,0.000213556,0.000213556,0.000213556
17,2379.56,0.66902,0.32886,0.97116,0.98357,0.98561,0.99383,0.83633,0.69245,0.32071,1.00191,0.000192726,0.000192726,0.000192726
18,2516.23,0.66364,0.31721,0.96405,0.97798,0.99072,0.99275,0.82729,0.70531,0.31881,1.02293,0.000171897,0.000171897,0.000171897
19,2646.92,0.64759,0.30682,0.96348,0.98203,0.99435,0.99375,0.84272,0.68319,0.30382,1.01761,0.000151067,0.000151067,0.000151067
20,2778.47,0.63251,0.29717,0.96027,0.98337,0.98751,0.99325,0.84689,0.66574,0.30576,1.01264,0.000130238,0.000130238,0.000130238
21,2912.78,0.6203,0.28861,0.95491,0.98309,0.98948,0.99271,0.84661,0.6714,0.29955,1.00593,0.000109408,0.000109408,0.000109408
22,3043.42,0.6085,0.28016,0.94194,0.97971,0.99244,0.99335,0.85567,0.65751,0.29442,1.00212,8.85784e-05,8.85784e-05,8.85784e-05
23,3176.69,0.59198,0.27227,0.93192,0.98578,0.9913,0.99375,0.85764,0.64265,0.28078,0.9992,6.77488e-05,6.77488e-05,6.77488e-05
24,3308.18,0.58581,0.26595,0.92942,0.99065,0.9899,0.99384,0.86135,0.64054,0.27688,0.98479,4.69192e-05,4.69192e-05,4.69192e-05
25,3439.61,0.57488,0.25982,0.92391,0.98638,0.99091,0.99349,0.86323,0.63541,0.27031,0.98796,2.60896e-05,2.60896e-05,2.60896e-05
